,Temp,Irr,cluster
1094,3.4,428,5
1095,3.3,320,5
1096,2.4,176,5
1097,1.0,18,2
1098,0.5,0,2
1099,0.0,0,2
1100,-0.4,0,2
1101,-0.9,0,2
1111,-2.5,0,2
1112,-1.1,76,2
1113,0.7,191,2
1114,2.8,314,5
1115,4.5,381,5
1116,5.7,380,5
1117,6.5,371,5
1118,6.9,334,5
1119,6.9,262,5
1120,6.2,148,1
1121,4.9,16,1
1122,4.6,0,1
1123,4.2,0,1
1124,3.8,0,1
1125,3.4,0,1
1183,1.5,1,2
1184,1.3,10,2
1185,2.2,23,2
1186,2.6,35,2
1187,2.9,44,2
1188,2.9,48,2
1189,5.2,342,5
1190,6.6,312,5
1191,7.3,243,5
1192,7.5,136,1
1193,6.9,17,1
1194,6.7,0,1
1195,6.6,0,1
1196,6.5,0,1
1197,6.4,0,1
1207,4.0,1,1
1208,5.2,76,1
1209,6.0,120,1
1210,6.3,107,1
1211,6.1,46,1
1212,6.9,226,5
1213,7.5,249,5
1214,8.4,323,5
1215,8.9,275,5
1216,8.6,124,1
1217,8.0,28,1
1218,7.7,0,1
1219,7.5,0,1
1220,7.3,0,1
1221,7.1,0,1
1231,6.7,1,1
1232,7.6,48,1
1233,8.7,115,1
1234,9.9,174,0
1235,10.9,215,0
1236,11.7,236,0
1237,12.2,226,0
1238,12.4,181,0
1239,12.4,139,3
1240,12.0,78,3
1241,11.3,26,3
1242,10.7,0,3
1243,9.7,0,3
1244,9.7,0,3
1245,9.4,0,3
1255,6.2,4,1
1256,7.7,91,1
1257,8.7,141,1
1258,10.5,291,0
1259,11.4,261,0
1260,12.7,403,0
1261,13.8,433,4
1262,14.8,451,4
1263,15.2,366,0
1264,14.8,194,0
1265,13.8,69,3
1266,12.7,0,3
1267,11.8,0,3
1268,10.8,0,3
1269,9.9,0,3
1279,2.6,1,2
1280,3.2,54,1
1281,4.3,146,1
1282,5.8,271,5
1283,6.8,315,5
1284,7.8,377,5
1285,8.5,384,5
1286,9.1,401,5
1287,9.2,298,5
1288,8.7,175,5
1289,7.9,73,1
1290,6.8,0,1
1291,6.2,0,1
1292,5.6,0,1
1293,5.0,0,1
1351,-1.4,2,2
1352,0.2,99,2
1353,2.4,259,5
1354,4.5,372,5
1355,5.9,399,5
1356,7.1,457,5
1357,8.1,479,4
1358,8.6,446,4
1359,8.7,362,5
1360,8.2,231,5
1361,6.9,84,1
1362,5.4,0,1
1363,5.1,0,1
1364,4.8,0,1
1365,4.5,0,1
1375,4.2,2,1
1376,4.2,12,1
1377,4.9,26,1
1378,5.2,38,1
1379,6.2,125,1
1380,7.3,192,5
1381,9.2,382,5
1382,10.1,262,0
1383,11.0,312,0
1384,11.1,165,3
1385,10.8,87,3
1386,10.0,1,3
1387,9.6,0,3
1388,9.2,0,1
1389,8.9,0,1
1399,5.2,8,1
1400,6.2,66,1
1401,7.4,142,1
1402,8.4,193,5
1403,9.6,285,0
1404,10.4,285,0
1405,10.9,274,0
1406,11.7,363,0
1407,12.3,367,0
1408,12.3,254,0
1409,11.6,87,3
1410,10.5,0,3
1411,9.8,0,3
1412,9.1,0,1
