Hours,Temp,Irr,Type
623,7.5,0,B
624,7.1,0,B
625,6.7,0,B
626,5.8,0,B
627,6.2,0,B
628,5.9,0,B
629,5.8,0,B
630,5.5,0,B
631,5.5,0,B
632,5.7,5,B
633,6.4,49,B
634,7.1,85,B
635,7.7,119,B
636,8.0,102,B
637,8.1,90,B
638,8.1,80,B
639,8.0,65,B
640,7.6,29,B
641,7.2,1,B
642,6.7,0,B
643,6.2,0,B
644,5.7,0,B
645,5.2,0,B
646,4.7,0,B
647,4.2,0,B
648,3.6,0,B
649,2.9,0,B
650,2.1,0,B
651,1.8,0,B
652,1.4,0,B
653,1.0,0,B
654,0.7,0,B
655,0.4,0,B
656,0.7,10,B
657,2.1,90,B
658,3.8,189,B
659,5.0,238,B
660,6.2,289,B
661,6.6,251,B
662,6.8,216,B
663,6.4,144,B
664,5.5,59,B
665,4.4,1,B
666,4.1,0,B
667,3.8,0,B
668,3.4,0,B
669,3.1,0,B
670,2.8,0,B
671,2.5,0,B
672,2.4,0,B
673,2.4,0,B
674,2.4,0,B
675,2.4,0,B
676,2.5,0,B
677,2.5,0,B
678,2.5,0,B
679,2.5,0,A
680,2.9,6,A
681,3.1,14,A
682,3.8,50,A
683,4.9,111,A
684,6.8,244,A
685,8.0,226,A
686,9.4,310,A
687,9.3,116,A
688,8.6,57,A
689,7.7,6,A
690,7.5,0,A
691,7.3,0,A
692,7.1,0,A
693,6.9,0,A
694,6.7,0,B
695,6.5,0,B
696,6.1,0,B
697,5.7,0,B
698,5.2,0,B
699,5.0,0,B
700,4.5,0,B
701,4.5,0,B
702,4.4,0,B
703,4.2,0,A
704,4.3,4,A
705,4.5,15,A
706,4.7,25,A
707,5.0,42,A
708,5.1,41,A
709,6.9,300,A
710,8.0,262,A
711,8.4,185,A
712,8.2,83,A
713,7.5,2,A
714,7.3,0,A
715,7.1,0,A
716,6.9,0,A
717,6.7,0,A
718,6.5,0,B
719,6.2,0,B
720,6.1,0,B
721,6.0,0,B
722,5.9,0,B
723,5.8,0,B
724,5.8,0,B
725,5.7,0,B
726,5.7,0,B
727,5.6,0,A
728,5.8,4,A
729,7.6,73,A
730,9.8,164,A
731,11.7,228,A
732,12.6,207,A
733,13.0,182,A
734,13.0,139,A
735,12.4,86,A
736,11.7,64,A
737,10.6,2,A
738,10.0,0,A
739,9.5,0,A
740,9.0,0,A
741,8.5,0,A
742,8.0,0,B
743,7.5,0,B
744,6.9,0,B
745,6.4,0,B
746,5.8,0,B
747,5.6,0,B
748,5.3,0,B
749,5.0,0,B
750,4.8,0,B
751,4.6,0,A
752,5.1,20,A
753,6.9,157,A
754,8.5,262,A
755,9.9,347,A
756,10.7,353,A
757,11.2,343,A
758,11.5,332,A
759,11.3,231,A
760,10.6,131,A
761,9.4,6,A
762,8.9,0,A
763,8.3,0,A
764,7.8,0,A
765,7.2,0,A
766,6.6,0,B
767,6.1,0,B
768,5.7,0,B
769,5.2,0,B
770,4.8,0,B
771,4.5,0,B
772,4.3,0,B
773,4.1,0,B
774,3.9,0,B
775,3.8,0,A
776,4.3,20,A
777,6.0,143,A
778,7.5,255,A
779,8.7,311,A
780,9.6,353,A
781,10.2,351,A
782,10.4,291,A
783,10.1,199,A
784,9.3,88,A
785,8.2,1,A
786,7.8,0,A
787,7.3,0,A
788,6.8,0,A
789,6.3,0,A
790,5.8,0,B
791,5.3,0,B
792,4.9,0,B
793,4.5,0,B
794,4.1,0,B
795,3.8,0,B
796,3.6,0,B
797,3.4,0,B
798,3.2,0,B
799,3.1,0,B
800,3.4,14,B
801,4.4,92,B
802,5.3,164,B
803,6.2,226,B
804,6.8,244,B
805,7.0,240,B
806,7.2,167,B
807,7.0,135,B
808,6.5,66,B
809,5.9,1,B
810,5.2,0,B
811,4.5,0,B
812,3.8,0,B
813,3.1,0,B
814,2.4,0,B
815,1.8,0,B
816,0.9,0,B
817,-0.1,0,B
818,-1.1,0,B
819,-1.6,0,B
820,-2.2,0,B
821,-2.5,0,B
822,-2.9,0,B
823,-3.0,0,B
824,-2.4,49,B
825,-1.4,138,B
826,-0.4,217,B
827,0.5,271,B
828,1.3,321,B
829,1.9,336,B
830,2.3,349,B
831,2.2,209,B
832,1.7,119,B
833,0.8,20,B
834,0.4,0,B
835,0.0,0,B
836,-0.5,0,B
837,-0.9,0,B
838,-1.4,0,B
839,-1.8,0,B
840,-1.9,0,B
841,-1.9,0,B
842,-2.0,0,B
843,-2.0,0,B
844,-2.0,0,B
845,-2.0,0,B
846,-2.0,0,B
847,-1.9,0,A
848,-0.8,61,A
849,1.2,194,A
850,3.3,319,A
851,5.3,408,A
852,6.9,462,A
853,7.9,430,A
854,8.3,351,A
855,8.1,243,A
856,7.2,118,A
857,5.8,3,A
858,5.5,0,A
859,5.2,0,A
860,4.9,0,A
861,4.6,0,A
862,4.3,0,B
863,4.0,0,B
864,3.5,0,B
865,3.0,0,B
866,2.3,0,B
867,2.1,0,B
868,2.1,0,B
869,1.1,0,B
870,1.7,0,B
871,1.7,0,A
872,1.9,17,A
873,2.2,52,A
874,2.6,88,A
875,2.9,114,A
876,3.1,123,A
877,3.2,122,A
878,3.4,105,A
879,3.3,73,A
880,3.0,36,A
881,2.8,2,A
882,2.5,0,A
883,2.1,0,A
884,1.7,0,A
885,1.3,0,A
886,0.9,0,B
887,0.6,0,B
888,0.3,0,B
889,0.1,0,B
890,-0.2,0,B
891,-0.3,0,B
892,-0.4,0,B
893,-0.4,0,B
894,-0.5,0,B
895,-0.5,0,A
896,0.7,65,A
897,2.5,183,A
898,3.9,240,A
899,5.0,270,A
900,6.3,369,A
901,7.0,324,A
902,7.5,309,A
903,7.7,275,A
904,7.3,150,A
905,6.2,16,A
906,5.5,0,A
907,4.9,0,A
908,4.3,0,A
909,3.6,0,A
910,3.0,0,B
911,2.3,0,B
912,1.6,0,B
913,0.9,0,B
914,0.2,0,B
915,-0.2,0,B
916,-0.6,0,B
917,-0.8,0,B
918,-1.1,0,B
919,-1.1,0,A
920,-1.2,7,A
921,-1.0,17,A
922,-1.2,35,A
923,-0.6,68,A
924,-0.5,74,A
925,0.8,368,A
926,1.6,329,A
927,1.9,228,A
928,1.8,116,A
929,1.3,9,A
930,0.8,0,A
931,0.2,0,A
932,-0.3,0,A
933,-0.9,0,A
934,-1.4,0,B
935,-2.0,0,B
936,-2.4,0,B
937,-2.8,0,B
938,-3.2,0,B
939,-3.4,0,B
940,-3.7,0,B
941,-3.8,0,B
942,-3.9,0,B
943,-3.9,0,A
944,-3.8,6,A
